"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка, что курьер НЕ может авторизоваться, используя несуществующие данные для входа","398","Авторизация курьера, используя несуществующие данные","","Sat May 17 16:49:27 MSK 2025","passed","Sat May 17 16:49:27 MSK 2025","","courier.CourierLoginTest","courier.CourierLoginTest","loginCourierWithNonExistentCredential"
"Создание заказа с самокатами разных цветов через параметризованный тест","733","Создание заказа","","Sat May 17 16:49:32 MSK 2025","passed","Sat May 17 16:49:33 MSK 2025","","order.OrderCreateTest","order.OrderCreateTest","orderCreate[Цвет самоката - [BLACK]]"
"Попытка создать курьера без передачи поля login. Создание курьера должно провалиться","384","Создание курьера без логина","","Sat May 17 16:49:22 MSK 2025","passed","Sat May 17 16:49:23 MSK 2025","","courier.CourierCreateTest","courier.CourierCreateTest","createCourierWithoutLogin"
"Попытка создать курьера без передачи поля password. Создание курьера должно провалиться","422","Создание курьера без пароля","","Sat May 17 16:49:23 MSK 2025","passed","Sat May 17 16:49:23 MSK 2025","","courier.CourierCreateTest","courier.CourierCreateTest","createCourierWithoutPassword"
"Проверяем, что курьера можно создать с валидными данными","6690","Создание нового курьера","","Sat May 17 16:49:16 MSK 2025","passed","Sat May 17 16:49:22 MSK 2025","","courier.CourierCreateTest","courier.CourierCreateTest","createNewCourier"
"Создание заказа с самокатами разных цветов через параметризованный тест","632","Создание заказа","","Sat May 17 16:49:33 MSK 2025","passed","Sat May 17 16:49:34 MSK 2025","","order.OrderCreateTest","order.OrderCreateTest","orderCreate[Цвет самоката - []]"
"Создание заказа с самокатами разных цветов через параметризованный тест","438","Создание заказа","","Sat May 17 16:49:32 MSK 2025","passed","Sat May 17 16:49:32 MSK 2025","","order.OrderCreateTest","order.OrderCreateTest","orderCreate[Цвет самоката - [BLACK, GREY]]"
"Создание заказа с самокатами разных цветов через параметризованный тест","423","Создание заказа","","Sat May 17 16:49:33 MSK 2025","passed","Sat May 17 16:49:33 MSK 2025","","order.OrderCreateTest","order.OrderCreateTest","orderCreate[Цвет самоката - [GREY]]"
"Проверка, что курьер НЕ может авторизоваться без передачи поля login","1571","Авторизация курьера без логина","","Sat May 17 16:49:27 MSK 2025","passed","Sat May 17 16:49:29 MSK 2025","","courier.CourierLoginTest","courier.CourierLoginTest","loginCourierWithoutLogin"
"Получение списка заказов, проверка наличия списка","2645","Получение списка заказов","","Sat May 17 16:49:34 MSK 2025","passed","Sat May 17 16:49:37 MSK 2025","","order.OrderGetListTest","order.OrderGetListTest","orderGetList"
"Проверка, что курьер может авторизоваться с валидными данными","1957","Авторизация курьера","","Sat May 17 16:49:25 MSK 2025","passed","Sat May 17 16:49:27 MSK 2025","","courier.CourierLoginTest","courier.CourierLoginTest","loginCourier"
"Попытка создать двух курьеров с одинаковым набором данных. Создание второго курьера должно провалиться","1934","Создание двух одинаковых курьеров","","Sat May 17 16:49:23 MSK 2025","passed","Sat May 17 16:49:25 MSK 2025","","courier.CourierCreateTest","courier.CourierCreateTest","createTwoIdenticalCouriers"
"Проверка, что курьер НЕ может авторизоваться без передачи поля password","2846","Авторизация курьера без пароля","","Sat May 17 16:49:29 MSK 2025","passed","Sat May 17 16:49:32 MSK 2025","","courier.CourierLoginTest","courier.CourierLoginTest","loginCourierWithoutPassword"
